BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,W_count,Flesch
pg10067,0.1371298454631788,0.08686859553948163,0.0003211409461409424,0.14926258116883112,0.09709646769505925,0.06407273457906368,5048,69530,73.0
pg1032,0.024845553751803754,0.16676677489177483,0.10646354212680743,0.08524879476584023,0.0847094281687305,0.11437620983352693,911,17940,-6.11
pg10379,0.09937154647520499,0.08580827067669172,0.12687832154295567,0.11787833150784957,0.20386426919963502,0.12020030602309087,8891,152334,78.42
pg10473,0.05860399103820158,0.03315250150693189,0.02909634317862166,0.1600950834879406,0.11562823968484348,0.07959994683678893,8798,92433,87.65
pg105,0.1979323057894486,0.03531459435626102,0.0838551174394548,0.24490852401566682,0.11504632188142823,0.10016666666666665,3647,83704,60.38
pg10812,0.1273148148148148,0.037734222963580734,0.20404751975852886,0.09544612794612795,0.17398015105461917,0.06147186147186146,1065,17780,74.42
pg10826,0.1666727445260053,0.09086546956444912,0.047883426097711825,0.07503516366674258,0.21299138509244897,0.12426821983273593,1115,28411,67.12
pg1086,0.08438316769302687,0.18695098039215685,0.05948252364919029,0.010007040450588846,0.09494389017415335,0.15030091622833555,1046,17785,-103.62
pg108,0.11057231299166778,0.06158369408369409,0.0041073709177157445,-0.02399315576398907,0.06356392106392104,0.11807355112587671,7806,112749,76.35
pg10943,0.07245835782872821,0.14037005861079935,0.04190928119499547,-0.003981843879104156,0.06208333333333335,-0.02147940443394988,3074,41049,76.45
pg11004,0.04894706506775472,0.21614411707695286,0.08603025793650793,0.09626610015498899,0.23061450314391485,0.1683935998641881,8799,73719,82.95
pg11005,0.026948215925488673,0.12771720402317413,0.1606182968682969,0.14570838594276092,0.07384260538515856,0.06341108654938442,8501,66022,83.96
pg11259,0.09028698752228165,0.10196047779381112,0.08231254342365453,0.1701201393635604,0.15228775853775853,0.12767808654905424,7299,70149,88.16
pg11280,0.08942101426637508,0.06763211382113819,0.03656767366444787,0.23744758509464395,0.06407203907203904,0.11358171663727216,3049,80769,61.03
pg11520,0.092814921920185,0.005646013877721203,0.11301824757520956,0.0253968253968254,0.08765873015873013,0.06443011463844799,10737,104477,81.02
pg1155,0.0996606098579782,0.057352790578597046,0.11677721088435375,0.1647973638827297,0.16843853820598007,0.03639455782312926,8016,77695,82.54
pg11581,0.08160307898259704,-0.002841077441077436,0.10893518518518516,-0.06526410097838672,0.03356040564373897,0.09701576576576576,4565,72979,74.42
pg11655,0.13821634160343838,0.13459744503862153,0.03837590735738882,0.1514219838132881,0.2219440887750746,0.17112439328348425,7109,113016,77.57
pg11674,0.12756388452817022,0.07748834498834499,-0.0003847760426707796,0.033973562152133575,0.005699680578321358,0.11936641697877654,4914,90823,75.54
pg1190,0.08325337284075145,0.09608658008658005,0.13420356158992522,0.023071763916834347,0.07976591760299624,0.06720938375350138,548,14507,-89.71
pg1193,0.191296311913195,0.06750514857310971,0.1476359338061466,0.16846652236652232,0.14022443403590942,0.0020998677248677215,1196,23339,-12.71
pg11931,0.11267187940264867,0.14488672438672434,0.16552653399668324,0.1614662447257384,0.13162277537277534,0.19109461966604824,339,5549,76.66
pg11970,0.06453666344443044,0.061525573192239856,0.21123338870431885,0.2705338642838642,0.3187246707193517,0.25815395021645027,5895,91781,73.71
pg11,0.060854609571714825,0.012905919312169304,0.06781375686960792,0.04562169312169315,0.08070776255707762,0.019273037918871243,1543,25728,63.8
pg1204,0.11817929680832907,0.09570405548017488,0.0967009842009842,0.03582292479833464,0.05127344877344875,0.06999007936507935,3475,56648,85.22
pg12102,0.09070121702197172,0.04431880024737167,0.17989831349206348,0.16263869625520105,0.06320177970177968,0.09072846520763185,5625,71370,83.19
pg1218,0.1802318295739348,0.0681448489781823,0.09466991341991343,0.06912008281573502,0.08234121872279766,0.050431034482758624,10285,161577,74.83
pg12181,0.06956216298321562,0.08607892416225749,0.03878394332939788,2.159755449229312e-05,-0.02359969496045445,-0.030684409779237358,1649,24127,86.54
pg12196,0.13036079782790305,0.11593833943833941,0.013869992441421035,0.24602069077875535,0.029896994258696373,0.10307395382395379,2768,40723,78.21
pg12303,0.15249399939994002,0.05829386882958306,0.10695541271298842,0.07589499389499389,0.21976259689922478,0.1373938969527205,7692,157791,65.8
pg12304,0.014485668053629235,-0.009828440656565652,0.06227897252090802,0.07121356747827336,0.04372023809523811,0.07079248366013073,5829,87363,67.83
pg12360,0.17820872274143307,0.08890922707783168,0.13772941735904698,0.1933355252342594,-0.004413963653094092,0.0840981240981241,10987,115124,81.43
pg12450,0.09241174117411735,0.18838644688644682,0.13391946992864423,0.24820843776106935,0.09446517412935324,0.014760752234778202,5904,106081,72.8
pg12453,0.18722687106707728,0.08031137707608298,0.1696937341009506,0.17315046637211587,0.13896172248803823,0.21886827458256036,7149,157330,58.76
pg12470,0.09159489237614238,0.0005589457396686234,0.00717267612837233,0.1995312227455084,0.18193606080930028,0.21134997157724442,6642,100050,74.12
pg12520,-0.024776749798873697,0.08775371496116177,0.13491469314998725,0.2168674698795181,0.0883564396222624,0.05975981620718463,8810,161906,64.75
pg1253,-0.0010512911632314613,0.12872484768318102,0.040712512534546434,0.0432348441384586,0.09390453834115803,0.030155309250136833,643,12163,76.76
pg12672,0.06985515873015875,0.14229470024924568,0.04843121693121694,0.16931628056628062,0.07615233127528208,0.06591068917018285,5115,75160,76.15
pg1273,0.13910283015953112,0.09359075719602034,0.14562066920977806,-0.03222641870601055,-0.00943921978404737,-0.002942315137437108,732,14068,43.26
pg12733,0.11606947856947857,0.017604166666666664,0.02317022263450835,-0.0037037037037037034,0.09489942528735631,0.0035245187818717205,10479,184931,66.17
pg12858,-0.02106635134412913,0.07811574650615746,0.11772443826015251,0.1504960317460317,0.09022486772486772,0.01774035757086604,3234,39409,77.87
pg12886,0.17099780701754383,0.26379995608256473,-0.007497564935064932,0.22690122120677683,0.0750639880952381,0.09421992243867244,1560,23011,73.41
pg12891,0.07294385655496766,0.17187671957671957,0.13182308970099665,0.1357868867243867,0.08851481481481484,0.02763888888888888,6289,86043,77.87
pg12931,0.1323361198986199,0.23522350369365294,0.15475676937441643,0.3424624433106578,0.26844685926318596,0.17819277108433737,2593,66896,65.93
